BID Name:,Borough,Service Area (Linear Feet),Full-time staff,Sanitation staff employed,Public Safety staff employed,Part-time staff,Ground floor storefront businesses,Upper level storefront businesses,Ground floor vacant storefronts,Upper level vacant storefronts,BID provides supplemental sanitation services,Type of sanitation services,Types of duties assigned to sanitation workers,Days per week of sanitation services,Hours logged by sanitation workers,Incidents of graffiti removed,Trash bags collected,Trash and recycling receptacles serviced,BID provides supplemental public safety services,Type of public safety services,Duties assigned to public safety personnel,Hours logged by public safety officers,Interactions with public safety officers,BID provides supplemental streetscape and beautification services,Planters maintained,Tree pits maintained,Banners maintained,Public art installations sponsored,Street furniture elements maintained,Wayfinding elements maintained,Lighting elements maintained,Other infrastructure elements maintained,Public spaces maintained,BID has holiday lighting program,Communication channels used,Marketing materials distributed,Public events coordinated,Estimated attendees to public events coordinated,Allocates staff salaries,Assessment revenue,Contract revenue,Contributions,Fundraising and special event revenue,Government grants,Program service revenue,Interest income,Miscellaneous income,Total support and revenue,Sanitation expenses,Public safety expenses,"Marketing, holiday lighting, and special event expenses",Streetscape & beautification expenses,Other program expenses,Capital improvement expenses,Debt service expenses,Salaries,Outside contractor expenses,Insurance costs,Rent and utilities,Supplies and equipment costs,Other G&A expenses,Total expenses
Madison Avenue,MN,27450,3,12,14,1,479,,42,,Yes,Contracted,Street Sweeping and Bagging; Power Washing; Snow and Ice Removal; Graffiti Removal; Gum Removal; Street Furniture Maintenance,7,22597,3703,140500,109,Yes,Contracted,Crime prevention workshops; Street patrol; Traffic mitigation; Coordination with NYPD,27040,33100,Yes,,29,39,2,,11,,69,0,Yes,Paid Advertising; Direct mailings; Door-to-door visits; Flyers; Email bulletins; Social media,21000,9,10000,Yes,1757000,," 4,161 ",,," 132,481 ", 820 ,,1894462,414019," 719,071 ",309809," 81,714 ", -   , -   , -   ," 126,722 ",,5855,209954,284262," 64,493 ",2215899
Meatpacking,MN,31420,4,10,6,2,268,,57,,Yes,Contracted,Street Sweeping and Bagging; Power Washing; Snow and Ice Removal; Graffiti Removal; Gum Removal; Street Furniture Maintenance,7,16244,1784,44133,102,Yes,Contracted,Street patrol; Traffic mitigation; Coordination with NYPD,7488,723,Yes,,96,100,2,9,59,119,111,0,No,Paid Advertising; Direct mailings; Door-to-door visits; Flyers; Email bulletins; Social media,190700,17,22000,No,1700000,," 1,478 "," 102,700 ",," 410,346 "," 9,133 "," 92,628 ",2316285,303914," 220,280 ",367870," 125,514 "," 100,023 ", -   , -   ," 487,550 "," 83,000 ",30000,97507,60000,,1875658
MetroTech,BK,46200,13,55,23,0,229,,20,,Yes,Contracted,Street Sweeping and Bagging; Power Washing; Snow and Ice Removal; Graffiti Removal; Gum Removal; Street Furniture Maintenance,7,37063,74,46600,172,Yes,In-house,Monitoring security cameras; Street patrol; Coordination with NYPD,47840,,Yes,12,300,194,2,117,16,102,,6,Yes,Door-to-door visits; Flyers; Email bulletins; Social media,18950,20,4000,Yes,3864049,," 109,760 "," 5,000 "," 9,700 ",, 507 ,,3989016,694192," 176,845 ",68776," 194,125 "," 16,574 ", -   , -   ," 1,652,933 "," 40,357 ",73933,33534,5733," 399,817 ",3356819
Montague Street,BK,3980,1,2,0,2,96,4,7,2,Yes,Contracted,Street Sweeping and Bagging; Power Washing; Snow and Ice Removal; Graffiti Removal; Gum Removal; Street Furniture Maintenance,7,3085,74,8828,25,No,,,,,Yes,60,50,9,0,20,0,0,50,0,Yes,Paid Advertising; Door-to-door visits; Email bulletins; Social media,650,4,5000,No,210000,,," 7,000 ",,,,,217000,54108, -   ,57532," 27,358 ", -   , -   , -   ," 48,483 ", -   ,3645,100,16240," 2,331 ",209797
Myrtle Avenue (Brooklyn),BK,15950,2,6,0,3,216,1,45,0,Yes,Contracted,Street Sweeping and Bagging; Snow and Ice Removal; Graffiti Removal,7,8736,156,20200,90,No,,,,,Yes,0,268,60,1,0,0,0,96,1,Yes,Paid Advertising; Door-to-door visits; Flyers; Email bulletins; Social media,32100,15,1250,Yes,575000,," 30,000 ",," 40,000 ",,," 14,269 ",659269,166077," 13,326 ",182854," 106,717 "," 92,687 "," 27,180 ", -   ," 49,825 "," 5,864 ",420,5620,1397," 4,499 ",656467
Myrtle Avenue (Queens),QN,16990,2,3,0,4,320,,23,,Yes,Contracted,Street Sweeping and Bagging; Snow and Ice Removal; Graffiti Removal,7,7219,174,78500,61,No,,,,,Yes,11,385,11,0,68,27,0,103,5,Yes,Paid Advertising; Direct mailings; Door-to-door visits; Flyers; Email bulletins; Social media,135800,60,125000,No,507676,,,," 5,000 ",, 231 , -   ,512907,144203, -   ,170404," 28,512 ", -   , -   , -   , -   ," 127,317 ",36156,20706, -   ," 18,819 ",546117
NoHo NY,MN,12570,2,4,0,1,84,,27,,Yes,Contracted,Street Sweeping and Bagging; Power Washing; Snow and Ice Removal; Graffiti Removal; Street Furniture Maintenance,7,12768,244,65000,60,No,,,,,Yes,40,0,43,0,10,0,0,20,0,No,Paid Advertising; Direct mailings; Door-to-door visits; Flyers; Email bulletins; Social media,500,2,150,No,540000,,,," 4,775 ", -   ," 1,500 ",,546275,230777, -   ,8698," 5,508 ", -   , -   , -   ," 115,496 ",,3391,72203,13000," 18,244 ",467317
North Flatbush,BK,6820,0,1,0,0,227,15,25,,Yes,Contracted,Street Sweeping and Bagging; Snow and Ice Removal; Graffiti Removal; Street Furniture Maintenance,7,2184,620,14200,54,No,,,,,Yes,10,,30,,,,,,0,Yes,Paid Advertising; Direct mailings; Door-to-door visits; Flyers; Email bulletins; Social media,4550,8,1500,No,150000,,," 16,250 "," 20,000 "," 9,800 ",,   ,196050,63702, -   ,26267," 27,078 ", -   , -   , -   ,," 41,820 ",3172,12787,2029," 3,184 ",180039
Park Slope 5th Avenue,BK,27630,1,4,0,2,520,,41,,Yes,Contracted,Street Sweeping and Bagging; Power Washing; Snow and Ice Removal; Graffiti Removal,5,5560,1100,78000,104,No,,,,,Yes,,,50,1,,,,,0,Yes,Paid Advertising; Flyers; Email bulletins; Social media,18900,17,80000,No,300000, -   ,," 112,000 "," 2,500 "," 16,700 ", 100 ,,431300,107000," 1,000 ",149400, -   , -   , -   , -   ," 88,000 "," 57,000 ",3500,22720,1500," 4,950 ",435070
Pitkin Avenue,BK,12880,2,2,0,10,212,,18,,Yes,Contracted,Street Sweeping and Bagging; Graffiti Removal,5,3120,100,14500,64,Yes,In-house,Coordination with NYPD,175,60,Yes,9,60,6,6,1,0,0,0,3,Yes,Paid Advertising; Direct mailings; Door-to-door visits; Flyers; Email bulletins; Social media,11000,6,5000,No,225000,,,," 82,917 ", -   ,," 3,148 ",311065,63515," 1,422 ",98954," 3,392 "," 16,157 ", -   , -   ," 113,917 "," 5,377 ",808,,7409," 1,879 ",312830
SoHo-Broadway,MN,6960,1,6,1,1,140,0,24,0,Yes,Contracted,Street Sweeping and Bagging; Power Washing; Snow and Ice Removal; Graffiti Removal; Street Furniture Maintenance,7,12375,2491,47593,30,Yes,In-house,Street patrol; Coordination with NYPD,1645,503,Yes,,,,,,,,,0,No,Door-to-door visits; Flyers; Email bulletins; Social media,0,7,234,Yes,550000, -   ," 18,048 ", -   ," 22,000 ", -   , 40 ,,590088,263551," 119,586 ", -   ," 30,045 "," 111,866 "," 12,166 ", -   ," 31,140 "," 15,934 ",4484,23842,3857," 7,549 ",624020
South Shore,SI,21950,1,5,0,0,334,,8,,Yes,Contracted,Street Sweeping and Bagging,3,1248,0,3120,20,Yes,Contracted,Monitoring security cameras; Coordination with NYPD,0,0,Yes,15,20,58,0,0,0,0,0,1,Yes,Paid Advertising; Direct mailings; Door-to-door visits; Flyers; Email bulletins; Social media,4500,2,3000,No,185000,,, 450 ," 20,000 ",, 50 ,,205500,22660," 10,000 ",39975," 1,760 ", -   , -   , -   ," 40,000 ", -   ,12000,3600, -   , -   ,129995
Southern Boulevard,BX,6830,1,2,2,0,150,,14,,Yes,Contracted,Street Sweeping and Bagging; Snow and Ice Removal,5,4160,25,5824,16,Yes,Contracted,Street patrol; Coordination with NYPD,90,90,Yes,0,67,20,0,60,0,10,0,0,Yes,Paid Advertising; Door-to-door visits; Email bulletins; Social media,1750,9,8500,No,190000,," 1,800 ",, -   ,, -   ,,191800,65706," 8,318 ",49528," 3,685 ", 850 , -   , -   , -   ," 49,800 ",2465,,375," 1,952 ",182679
Steinway Street,QN,9930,2,3,0,1,288,,33,,Yes,Contracted,Street Sweeping and Bagging; Graffiti Removal; Street Furniture Maintenance,7,7581,3740,78000,38,Yes,Contracted,Monitoring security cameras,100,0,Yes,28,33,20,0,88,0,0,33,0,Yes,Paid Advertising; Direct mailings; Flyers; Social media,7000,6,8000,No,400000, -   ,," 9,500 ",,, 620 ," 13,018 ",423138,143900," 52,341 ",70575," 52,341 ", -   , -   , -   ,," 95,000 ",1022,,," 7,959 ",423138
Sunnyside Shines,QN,18290,1,3,0,4,309,,15,,Yes,Contracted,Street Sweeping and Bagging; Power Washing; Snow and Ice Removal; Graffiti Removal; Street Furniture Maintenance,7,7383,92,24060,60,No,,,,,Yes,46,121,62,,98,0,0,100,2,Yes,Paid Advertising; Door-to-door visits; Flyers; Email bulletins; Social media,26500,44,7500,Yes,360000, -   ," 5,829 "," 21,185 "," 103,708 "," 35,363 ", 672 ,,526757,138957, -   ,208732," 93,072 ", -   , -   , -   ," 33,980 "," 5,884 ",1410,15270,8985," 4,418 ",510708
Sunset Park,BK,11780,1,2,0,20,600,50,23,5,Yes,Contracted,Street Sweeping and Bagging; Snow and Ice Removal; Graffiti Removal,4,2080,229,22548,106,No,,,,,Yes,0,0,255,0,0,0,0,0,0,Yes,Paid Advertising; Door-to-door visits; Flyers; Email bulletins; Social media,21500,46,87110,Yes,300000,,," 42,255 "," 10,000 ",, 871 ," 113,485 ",466611,47840, 403 ,169315," 3,500 "," 7,931 ", -   , -   ," 84,526 "," 4,125 ",4085,32378,5159," 6,528 ",365790
Sutphin Boulevard,QN,4440,1,1,0,5,80,,4,,Yes,Contracted,Street Sweeping and Bagging; Power Washing; Snow and Ice Removal; Graffiti Removal; Gum Removal,7,3640,0,14129,46,No,,,,,No,,,,,,,,,,Yes,Paid Advertising; Door-to-door visits; Flyers; Email bulletins; Social media,1000,25,1500,No,252000,,,,,,,,252000,71740, -   ,5400, -   ,, -   , -   ," 63,853 "," 35,449 ",3517,14431,1983," 3,356 ",199729
Times Square Alliance,MN,52800,38,63,42,54,600,,86,,Yes,Both or Other,Street Sweeping and Bagging; Power Washing; Snow and Ice Removal; Graffiti Removal; Gum Removal; Street Furniture Maintenance,7,145600,823,146000,364,Yes,Both or Other,Monitoring security cameras; Crime prevention workshops; Street patrol; Traffic mitigation; Coordination with NYPD,104000,650000,Yes,117,67,215,30,500,60,0,200,13,No,Paid Advertising; Direct mailings; Door-to-door visits; Flyers; Email bulletins; Social media,50000,94,9658142,Yes,12638972,," 394,834 "," 2,273,788 "," 304,110 "," 2,417,641 "," 26,477 ",,18055822,5573954," 3,987,314 ",5659236," 274,849 "," 1,131,252 ", -   , -   ," 770,139 "," 213,728 ",34826,446392,248691," 1,210,771 ",19551152
Union Square Partnership,MN,22380,7,22,0,5,264,,16,,Yes,Contracted,Street Sweeping and Bagging; Power Washing; Snow and Ice Removal; Graffiti Removal; Gum Removal; Street Furniture Maintenance,7,45745,237,178000,125,No,,,,,Yes,90,100,145,2,670,0,76,150,3,Yes,Paid Advertising; Direct mailings; Door-to-door visits; Email bulletins; Social media,44900,198,21230,Yes,2200000,," 41,530 ",,," 16,952 "," 3,531 ",,2262013,1036601," 191,276 ",540038," 184,248 "," 150,000 ", -   , -   ," 241,174 ",,26471,32320,32062," 30,394 ",2464584
Village Alliance,MN,22750,3,8,3,2,424,,26,,Yes,Contracted,Street Sweeping and Bagging; Power Washing; Snow and Ice Removal; Graffiti Removal; Street Furniture Maintenance,7,21868,385,86000,105,Yes,Contracted,Street patrol,7250,5419,Yes,103,145,36,2,122,2,36,,3,Yes,Paid Advertising; Direct mailings; Door-to-door visits; Flyers; Email bulletins; Social media,60500,16,24000,No,1300000," 9,359 "," 64,093 "," 78,537 "," 10,850 ",," 2,538 ",,1465377,449450," 142,246 ",323646," 120,444 "," 67,712 ", -   , -   ," 422,838 "," 55,779 ",12653,55355,14430," 31,180 ",1695733
Washington Heights,MN,7030,3,6,0,1,248,,18,,Yes,Contracted,Street Sweeping and Bagging; Snow and Ice Removal; Graffiti Removal; Street Furniture Maintenance,7,12624,1375,59200,75,No,,,,,No,,111,24,,86,3,0,0,,Yes,Paid Advertising; Direct mailings; Door-to-door visits; Flyers; Email bulletins; Social media,11050,20,10000,Yes,517422,,," 10,000 "," 139,500 ",,," 43,600 ",710522,269816, -   ,82637, -   , -   , -   , -   ," 208,472 "," 33,055 ",15864,87430,13273,,710547
West Shore,SI,26880,1,1,1,10,55,5,2,0,Yes,Contracted,Street Sweeping and Bagging,0,115,0,240,10,Yes,Contracted,Street patrol; Coordination with NYPD,832,10,Yes,0,0,40,0,0,4,0,0,0,No,Door-to-door visits; Flyers; Email bulletins,500,0,0,No,114741,,,,,,,,114741,13413," 31,610 ",8700, -   , -   , -   , -   ," 35,000 ",,8711, -   ,200," 4,000 ",101634
Westchester Square,BX,9100,3,2,0,0,156,,13,,Yes,Contracted,Street Sweeping and Bagging; Snow and Ice Removal; Graffiti Removal; Street Furniture Maintenance,7,7850,16,9500,32,No,,,,,Yes,8,45,49,1,4,0,0,0,1,Yes,Paid Advertising; Door-to-door visits; Flyers; Email bulletins; Social media,7500,28,12000,No,320000,,,," 217,276 ",,,,537276,140999, -   ,131109, -   , -   ,,," 220,840 "," 9,815 ",1959,26234,2278," 19,805 ",553040
White Plains Road,BX,3610,1,1,0,0,88,,6,,Yes,In-house,Street Sweeping and Bagging,6,2190,4,22000,21,Yes,Both or Other,Street patrol; Coordination with NYPD,730,36,Yes,0,48,38,0,3,0,0,41,0,Yes,Paid Advertising; Flyers; Social media,250,2,200,Yes,110000,,,,,,,,110000,38251, -   ,21293, -   ,, -   , -   , -   ," 27,750 ",3477,1551,1197, 900 ,94419
Woodhaven,QN,10340,0,3,0,0,369,0,15,0,Yes,Contracted,Street Sweeping and Bagging; Power Washing; Snow and Ice Removal; Graffiti Removal,7,5096,1915,65000,120,Yes,Both or Other,,200,9,Yes,16,16,88,0,5,0,0,0,1,Yes,Paid Advertising; Direct mailings; Flyers; Email bulletins; Social media,4150,9,3000,No,218000,,,,,, 65 ,,218065,106334, -   ,65996, -   , -   , -   , -   , -   ," 64,500 ",2965,1399, -   ," 1,241 ",242435
