BID Name:,Borough,Service Area (Linear Feet),Full-time staff,Sanitation staff employed,Public Safety staff employed,Part-time staff,"Individual businesses (retail, restaurant, office, etc.)",Occupied storefronts,Vacant storefronts,Total storefronts,BID provides supplemental sanitation services,Type of sanitation services,Types of duties assigned to sanitation workers,Days per week of sanitation services,Hours logged by sanitation workers,Incidents of graffiti removed,Trash bags collected,Trash and recycling receptacles serviced,BID provides supplemental public safety services,Type of public safety services,Duties assigned to public safety personnel,Hours logged by public safety officers,Interactions with public safety officers,BID provides supplemental streetscape and beautification services,Planters and hanging baskets maintained,Tree pits maintained,Banners maintained,Public art installations sponsored,Street furniture elements maintained,Wayfinding elements maintained,Lighting elements maintained,Other infrastructure elements maintained,Public spaces maintained,BID has holiday lighting program,Communication channels used,Social media followers,Marketing materials distributed,Public events coordinated,Estimated attendees to public events coordinated,Allocates staff salaries,Assessment revenue,Contract revenue,Program service revenue,Contributions,Fundraising and special event revenue,Government grants,Interest income,Miscellaneous income,Total support and revenue,Sanitation expenses,Public safety expenses,"Marketing, holiday lighting, and special event expenses",Streetscape & beautification expenses,Other program expenses,Capital improvement expenses,Salaries,Outside contractor expenses,Insurance costs,Rent and utilities,Supplies and equipment costs,Other G&A expenses,Total expenses
Kingsbridge,BX,13140,0,2,0,2,187,187,26,213,Yes,Contracted,Street Sweeping and Bagging; Snow and Ice Removal,7,5941,35,17000,68,No,,,,,Yes,4,128,48,0,11,0,0,6 bollards & 15 tree guards,0,No,Direct mailings; Door-to-door visits; Flyers; Email bulletins,0,8150,0,0,No,329000,$-,$-,$-,$-,$-,$411,"$1,160",330571,136841,,"$37,576",18081,,,85738,10250,5316,22591,4681,1462,322536
Lincoln Square,MN,28680,6,19,10,12,259,235,11,246,Yes,Contracted,Street Sweeping and Bagging; Power Washing; Snow and Ice Removal; Graffiti Removal; Street Furniture Maintenance,7,33232,"10,644",78345,133,Yes,Contracted,Street patrol; Coordination with NYPD,16561.75,11654,Yes,84,0,150,1,517,5,0,0,15,Yes,"Print advertising (i.e. local newspaper); Digital advertising (i.e. Google, Facebook, Instagram ads); Direct mailings; Door-to-door visits; Flyers; Email bulletins; Social media; LinkNYC advertising (more info)",6900,215824,11,27220,Yes,2600000,$-,$-,"$397,865",$-,"$3,500",$729,$-,3002094,933636,553393,"$726,038",231634,128435,,126459,36648,11835,215380,7491,40755,3011704
Long Island City Partnership,QN,25460,2,6,1,1,224,201,23,224,Yes,Contracted,Street Sweeping and Bagging; Power Washing; Snow and Ice Removal; Graffiti Removal; Street Furniture Maintenance,7,14000,111,46310,94,Yes,In-house,Crime prevention workshops; Street patrol; Coordination with NYPD,500,25,Yes,90,144,91,2,79,1,0,36,4,Yes,"Print advertising (i.e. local newspaper); Digital advertising (i.e. Google, Facebook, Instagram ads); Direct mailings; Door-to-door visits; Flyers; Email bulletins; Social media; LinkNYC advertising (more info)",10564,5500,6,16500,Yes,867000,$-,$-,$-,"$55,470",$-,$524,$-,922994,411366,65788,"$103,947",232382,27414,,43125,17793,5101,,,1161,908077
Lower East Side,MN,10870,8,4,0,0,Unknown,429,74,503,Yes,Contracted,Street Sweeping and Bagging; Snow and Ice Removal; Graffiti Removal; Street Furniture Maintenance,7,7904,"3,062",20957,69,No,,,,,Yes,78,143,14,16,89,4,115,0,4,Yes,"Print advertising (i.e. local newspaper); Digital advertising (i.e. Google, Facebook, Instagram ads); Direct mailings; Email bulletins; Social media; LinkNYC advertising (more info)",25657,59747,206,60000,Yes,974000,"$250,000","$80,977",$-,$-,"$323,000","$1,400",$-,1629377,423482,,"$441,501",53774,496270,,99531,,,,20144,84400,1619102
Madison Avenue,MN,27450,3,11,12,1,800,434,45,479,Yes,Contracted,Street Sweeping and Bagging; Power Washing; Snow and Ice Removal; Graffiti Removal; Gum Removal; Street Furniture Maintenance,7,21424,"5,247",101200,109,Yes,In-house,Crime prevention workshops; Street patrol; Traffic mitigation; Coordination with NYPD,27040,17569,Yes,0,33,68,2,0,0,0,54,0,Yes,"Print advertising (i.e. local newspaper); Digital advertising (i.e. Google, Facebook, Instagram ads); Direct mailings; Door-to-door visits; Flyers; Email bulletins; Social media",3355,12000,7,5000,Yes,1907000,$-,"$114,317","$1,200",$-,$-,$548,$-,2023065,512760,763447,"$332,364",93235,,,142581,31811,6403,38043,16110,64131,2000885
Meatpacking,MN,31420,3,9,5,2,I don't know,214,53,267,Yes,Contracted,Street Sweeping and Bagging; Power Washing; Snow and Ice Removal; Street Furniture Maintenance,7,16640,"1,021",51816,102,Yes,Contracted,Street patrol; Traffic mitigation; Coordination with NYPD,6240,0,Yes,19,122,100,0,60,0,119,111,0,No,"Print advertising (i.e. local newspaper); Digital advertising (i.e. Google, Facebook, Instagram ads); Direct mailings; Door-to-door visits; Flyers; Email bulletins; Social media; LinkNYC advertising (more info)",69699,201200,24,8000,Yes,2300000,"$14,000","$232,903","$12,000","$61,250",$-,"$17,293","$98,988",2736434,445574,207437,"$225,433",236634,87287,68038,423000,194472,27932,133311,50745,930,2100793
MetroTech,BK,46200,13,2,22,1,Do not track,238,25,263,Yes,Contracted,Street Sweeping and Bagging; Power Washing; Snow and Ice Removal; Graffiti Removal; Gum Removal; Street Furniture Maintenance,7,58088,"1,560",146000,159,Yes,In-house,Monitoring security cameras; Street patrol; Coordination with NYPD,45760,39775,Yes,55,457,194,1,278,12,102,1,6,Yes,"Digital advertising (i.e. Google, Facebook, Instagram ads); Flyers; Email bulletins; Social media",35532,0,115,10884,Yes,3827671,"$15,000",$-,"$109,760","$109,825","$65,004",$474,"$3,769",4131504,997636,1449661,"$349,037",282328,,7258,197865,171793,70018,44798,36459,390710,3997564
Montague Street,BK,3980,1,2,0,8,100,90,10,100,Yes,Contracted,Street Sweeping and Bagging; Power Washing; Snow and Ice Removal; Graffiti Removal; Gum Removal; Street Furniture Maintenance,7,2795,22,22,22,No,,,,,Yes,60,50,9,0,1,2,10,10,0,Yes,"Print advertising (i.e. local newspaper); Digital advertising (i.e. Google, Facebook, Instagram ads); Email bulletins; Social media; LinkNYC advertising (more info)",2300,1700,4,10000,Yes,210000,$-,$-,"$2,000","$6,208",$-,$30,$-,218238,57454,,"$50,382",22030,4222,,50805,5500,,12000,4894,6477,213765
Morris Park,BX,15525,1,2,0,4,295,290,5,295,Yes,Contracted,Street Sweeping and Bagging; Snow and Ice Removal; Graffiti Removal,7,2548,120,48910,67,Yes,In-house,Crime prevention workshops; Traffic mitigation; Coordination with NYPD,4,4,Yes,0,0,37,0,0,0,28,0,0,Yes,"Digital advertising (i.e. Google, Facebook, Instagram ads); Flyers; Email bulletins; Social media; LinkNYC advertising (more info)",308,1250,10,1500,No,390000,$-,$-,$-,$-,$-,$-,$-,390000,114496,,"$80,160",,,,23915,42000,1298,2167,12950,9696,286682
Myrtle Avenue (Brooklyn),BK,15950,3,3,0,2,180,193,32,225,Yes,Contracted,Street Sweeping and Bagging; Power Washing; Snow and Ice Removal; Graffiti Removal; Gum Removal,7,5496,246,45000,91,No,,,,,Yes,0,165,42,15,85,2,1,121,1,Yes,"Print advertising (i.e. local newspaper); Digital advertising (i.e. Google, Facebook, Instagram ads); Direct mailings; Door-to-door visits; Flyers; Email bulletins; Social media",13770,40870,65,4602,Yes,575000,$-,$-,"$50,000",$-,"$65,000","$2,467",$-,692467,209895,,"$236,649",115887,56429,7143,45771,3035,1910,2491,615,7662,687487
Myrtle Avenue (Queens),QN,16990,2,3,0,4,346,324,22,346,Yes,Contracted,Street Sweeping and Bagging; Graffiti Removal; Street Furniture Maintenance,7,7300,67,78500,61,No,,,,,Yes,13,385,4,0,66,28,0,105,5,Yes,"Print advertising (i.e. local newspaper); Digital advertising (i.e. Google, Facebook, Instagram ads); Direct mailings; Door-to-door visits; Flyers; Email bulletins; Social media",1665,160000,62,125000,No,507676,$-,$-,"$6,000","$1,334","$46,000",$157,$-,561167,165673,,"$163,831",23125,,,,135483,22030,22319,370,5951,538782
New Dorp,SI,11884,1,3,0,3,154,146,8,154,Yes,Contracted,Street Sweeping and Bagging; Power Washing; Graffiti Removal; Gum Removal,5,1620,1,90,30,No,,,,,Yes,25,150,0,5,15,3,35,5,2,Yes,"Print advertising (i.e. local newspaper); Digital advertising (i.e. Google, Facebook, Instagram ads); Direct mailings; Door-to-door visits; Flyers; Email bulletins; Social media; LinkNYC advertising (more info)",2350,10500,8,26000,No,135000,$-,$-,$-,"$26,200","$16,096",$-,$250,177546,23469,,"$69,187",,,,50000,,3019,,,10839,156514
NoHo NY,MN,12570,2,4,0,3,Do not track,123,31,154,Yes,Contracted,Street Sweeping and Bagging; Power Washing; Snow and Ice Removal; Graffiti Removal; Street Furniture Maintenance,7,10008,"8,908",63400,60,No,,,,,Yes,60,8,0,0,3,0,0,53,0,No,"Print advertising (i.e. local newspaper); Digital advertising (i.e. Google, Facebook, Instagram ads); Direct mailings; Door-to-door visits; Flyers; Email bulletins; Social media",3208,1000,4,150,No,540000,$-,$185,"$8,460",$-,$-,"$1,993",$-,550638,237862,,"$8,425",22740,,,141077,24235,3800,58786,10026,10309,517260
North Flatbush,BK,6820,0,1,0,0,165,157,35,192,Yes,Contracted,Street Sweeping and Bagging; Snow and Ice Removal; Graffiti Removal; Street Furniture Maintenance,7,2184,630,14725,54,No,,,,,Yes,56,80,30,1,8,0,0,"25 Big Belly units, 1 replica Victorian clock",4,Yes,"Print advertising (i.e. local newspaper); Digital advertising (i.e. Google, Facebook, Instagram ads); Direct mailings; Door-to-door visits; Flyers; Email bulletins; Social media; LinkNYC advertising (more info)",3089,15675,12,7500,No,150000,$-,"$17,500",$-,$-,"$53,098",$-,"$3,500",224098,61228,,"$34,199",110815,,,,62029,2837,11100,2623,4477,289308
Park Slope 5th Avenue,BK,27630,1,3.25,0,2,520,477,43,520,Yes,Contracted,Street Sweeping and Bagging; Power Washing; Snow and Ice Removal; Graffiti Removal,5,5824,"1,117",25572,130,No,,,,,Yes,0,0,50,0,0,0,1,0,0,Yes,"Print advertising (i.e. local newspaper); Digital advertising (i.e. Google, Facebook, Instagram ads); Door-to-door visits; Flyers; Email bulletins; Social media; LinkNYC advertising (more info)",18885,16350,25,85000,No,435000,$-,"$6,619",$-,"$99,724",$-,$7,$-,541351,146440,,"$117,531",,17901,,93797,72319,5805,26027,2214,2995,485030
Pitkin Avenue,BK,12880,2,2,0,10,192,195,16,208,Yes,Contracted,Street Sweeping and Bagging; Graffiti Removal,7,2900,80,7300,68,No,,,,,Yes,0,65,0,0,1,0,0,0,2,Yes,"Print advertising (i.e. local newspaper); Digital advertising (i.e. Google, Facebook, Instagram ads); Direct mailings; Door-to-door visits; Flyers; Email bulletins; Social media",1500,10400,12,4500,No,225000,$-,$-,$-,"$1,500","$215,000",$-,"$156,631",598131,65742,250,"$118,000",1600,,,140000,7500,14000,3500,5900,,356492
SoHo-Broadway,MN,6960,3,6,0,1,907,117,33,150,Yes,Contracted,Street Sweeping and Bagging; Power Washing; Snow and Ice Removal; Graffiti Removal; Street Furniture Maintenance,7,12042,"1,574",47074,42,Yes,In-house,Crime prevention workshops; Street patrol; Coordination with NYPD,910,207,No,,,,,,,,,,No,"Digital advertising (i.e. Google, Facebook, Instagram ads); Direct mailings; Flyers; Email bulletins; Social media",1369,0,3,400,Yes,900000,$-,$-,$-,$365,"$40,000",$14,"$15,339",955718,335678,87211,$-,,177654,1768,56517,20918,5665,21321,21963,2739,731434
South Shore,SI,21950,1,4,0,0,316,301,15,316,Yes,Contracted,Street Sweeping and Bagging,3,936,-,3000,20,Yes,Both or Other,Monitoring security cameras; Coordination with NYPD,104,50,Yes,0,50,48,0,0,0,0,0,1,Yes,"Print advertising (i.e. local newspaper); Digital advertising (i.e. Google, Facebook, Instagram ads); Direct mailings; Door-to-door visits; Flyers; Social media",1767,7500,3,7500,Yes,185000,$-,$-,$-,$-,"$20,000","$1,700",$-,206700,42819,22510,"$40,414",8500,,,40000,,11500,3600,,,169343
Southern Boulevard,BX,6830,0,2,0,1,177,130,20,150,Yes,Contracted,Street Sweeping and Bagging; Power Washing; Snow and Ice Removal; Graffiti Removal,7,6720,62,4860,19,Yes,Both or Other,Monitoring security cameras; Street patrol; Coordination with NYPD,225,120,Yes,0,18,18,0,0,0,8,8,0,Yes,"Digital advertising (i.e. Google, Facebook, Instagram ads); Door-to-door visits; Flyers; Email bulletins; Social media; LinkNYC advertising (more info)",1191,3300,14,8500,No,190000,$-,$-,"$2,500",$-,"$16,500",$129,$-,209129,85977,7404,"$48,797",3858,,,56358,3430,2504,,2102,4509,214939
Steinway Street,QN,9930,2,4,0,1,294,245,49,294,Yes,Contracted,Street Sweeping and Bagging; Snow and Ice Removal; Graffiti Removal; Street Furniture Maintenance,7,7665,"4,525",79750,36,Yes,Contracted,Monitoring security cameras,100,0,Yes,32,33,20,0,53,0,0,33,0,Yes,"Print advertising (i.e. local newspaper); Digital advertising (i.e. Google, Facebook, Instagram ads); Door-to-door visits; Flyers; Social media; LinkNYC advertising (more info)",2685,2000,6,8000,No,400000,$-,$-,$-,"$9,500",$-,$514,"$50,000",460014,186000,36000,"$75,500",57000,,,,98000,1279,,,7214,460993
Sunnyside Shines,QN,18290,2,4,0,2,300,280,22,302,Yes,Contracted,Street Sweeping and Bagging; Power Washing; Snow and Ice Removal; Graffiti Removal; Street Furniture Maintenance,7,8193,"13,712",30410,77,No,,,,,Yes,35,112,26,2,72,0,0,110,2,Yes,"Print advertising (i.e. local newspaper); Digital advertising (i.e. Google, Facebook, Instagram ads); Door-to-door visits; Flyers; Email bulletins; Social media; LinkNYC advertising (more info)",11000,16800,60,12000,Yes,360000,"$40,000","$12,315","$208,356","$48,939","$95,400",$571,$-,765581,156347,,"$139,676",59423,,,166152,8775,8531,36468,9420,165533,750325
Sunset Park,BK,11780,2,2,0,2,630,600,30,630,Yes,Contracted,Street Sweeping and Bagging; Snow and Ice Removal; Graffiti Removal; Street Furniture Maintenance,5,2300,150,36500,106,No,,,,,Yes,0,0,32,0,0,0,0,0,0,Yes,"Print advertising (i.e. local newspaper); Digital advertising (i.e. Google, Facebook, Instagram ads); Door-to-door visits; Flyers; Social media",10900,1600,12,50000,No,300000,$-,$-,$-,$-,$-,$225,$-,300225,39950,,"$60,676",,4010,,132992,,2211,32625,831,5924,279219
Sutphin Boulevard,QN,4440,1,2,0,1,135,81,3,84,Yes,Contracted,Street Sweeping and Bagging; Power Washing; Snow and Ice Removal; Graffiti Removal,7,4368,3,25000,17,No,,,,,No,,,,,,,,,,Yes,"Print advertising (i.e. local newspaper); Digital advertising (i.e. Google, Facebook, Instagram ads); Direct mailings; Door-to-door visits; Flyers; Email bulletins; Social media; LinkNYC advertising (more info)",778,6500,8,17000,No,252000,$-,$-,"$10,000",$-,"$10,000",$-,$-,272000,90618,,"$57,574",,,,75999,13455,5115,11400,9314,537,264012
HUB/3rd Avenue,BX,3450,5,6,0,2,290,132,5,137,Yes,Both or Other,Street Sweeping and Bagging; Power Washing; Snow and Ice Removal; Graffiti Removal; Street Furniture Maintenance,7,10500,83,8200,4,Yes,In-house,Monitoring security cameras; Crime prevention workshops; Coordination with NYPD,1020,320,Yes,0,18,23,3,45,4,0,15,2,Yes,"Print advertising (i.e. local newspaper); Digital advertising (i.e. Google, Facebook, Instagram ads); Direct mailings; Door-to-door visits; Flyers; Email bulletins; Social media",2814,10450,56,100000,Yes,450927,"$135,000",$-,"$75,000","$90,799","$40,000",$-,$-,791726,197948,5000,"$128,751",20546,36628,,260420,8500,25242,87431,6349,32570,809386
Times Square Alliance,MN,52800,39,85,38,7,1925,656,63,719,Yes,Both or Other,Street Sweeping and Bagging; Power Washing; Snow and Ice Removal; Graffiti Removal; Gum Removal; Street Furniture Maintenance,7,169312,"2,235",182500,400,Yes,Both or Other,Monitoring security cameras; Crime prevention workshops; Street patrol; Coordination with NYPD,99560,40000,Yes,100,76,228,8,700,20,0,250,2,No,"Print advertising (i.e. local newspaper); Digital advertising (i.e. Google, Facebook, Instagram ads); Direct mailings; Door-to-door visits; Flyers; Email bulletins; Social media",2022790,53000,331,9849464,Yes,13669048,$-,"$3,870,457","$1,067,927","$3,562,965","$85,400","$270,529",$-,22526326,6801656,3734911,"$7,007,373",468891,900187,,1548460,291761,33502,559305,636224,256763,22239033
Union Square Partnership,MN,22380,8,22,0,4,Do not track,868,24,892,Yes,Contracted,Street Sweeping and Bagging; Power Washing; Snow and Ice Removal; Graffiti Removal; Gum Removal; Street Furniture Maintenance,7,47490,"17,892",190915,80,No,,,,,Yes,125,100,258,0,670,0,76 park lights,150,8,Yes,"Print advertising (i.e. local newspaper); Digital advertising (i.e. Google, Facebook, Instagram ads); Direct mailings; Flyers; Email bulletins; Social media; LinkNYC advertising (more info)",65946,41400,211,22000,Yes,2600000,$-,"$24,668",$20,$-,$-,"$8,165",$-,2632853,1111212,201772,"$520,122",146127,,,497275,21303,121862,5355,17167,18901,2661096
Village Alliance,MN,22750,3,12,3,2,550,383,43,426,Yes,Contracted,Street Sweeping and Bagging; Power Washing; Snow and Ice Removal; Graffiti Removal; Street Furniture Maintenance,7,22457,"8,446",86000,108,Yes,Contracted,Street patrol; Coordination with NYPD,6120,3535,Yes,101,145,36,2,178,5,36,113,3,Yes,"Digital advertising (i.e. Google, Facebook, Instagram ads); Direct mailings; Door-to-door visits; Email bulletins; Social media",31123,55500,14,15000,No,1400000,"$93,660",$-,"$133,000","$42,400","$8,000","$4,174","$9,000",1690234,524143,143928,"$193,181",100795,2123,,400390,14400,6914,59527,19772,106930,1572103
Washington Heights,MN,7030,2,4,0,1,246,227,19,246,Yes,Contracted,Street Sweeping and Bagging; Snow and Ice Removal; Graffiti Removal; Street Furniture Maintenance,7,11196,"1,375",60200,75,No,,,,,No,,,,,,,,,,Yes,"Print advertising (i.e. local newspaper); Digital advertising (i.e. Google, Facebook, Instagram ads); Direct mailings; Flyers; Social media",1600,1200,5,5000,No,517422,$-,$-,"$14,000",$-,"$35,000",$-,"$25,800",592222,274300,,"$21,900",2300,,,125210,8700,13800,87000,8100,12100,553410
West Shore,SI,26880,0,10,0,0,60,59,1,60,Yes,Contracted,Street Sweeping and Bagging,1,75,-,1200,5,No,,,,,Yes,0,20,50,1,0,5,0,5,0,No,"Digital advertising (i.e. Google, Facebook, Instagram ads); Direct mailings; Door-to-door visits; Flyers; Email bulletins; Social media",100,0,0,0,Yes,110420,$-,$-,$-,"$10,000",$-,$47,$-,120467,20431,,$201,,,,35000,54800,16730,,,1907,129069
Westchester Square,BX,9100,2,3,1,2,163,159,4,163,Yes,Contracted,Street Sweeping and Bagging; Snow and Ice Removal; Graffiti Removal; Street Furniture Maintenance,7,5950,39,10500,23,Yes,In-house,Monitoring security cameras; Street patrol; Coordination with NYPD,2100,1150,Yes,25,45,49,0,4,0,0,0,1,Yes,"Print advertising (i.e. local newspaper); Digital advertising (i.e. Google, Facebook, Instagram ads); Door-to-door visits; Flyers; Email bulletins; Social media",2322,11500,27,16000,Yes,352000,"$10,000",$-,$-,$-,"$329,381",$-,$-,691381,131453,40779,"$75,116",,5317,,105054,,3338,28136,,28572,417766
White Plains Road,BX,3610,0,1,0,1,110,100,6,106,Yes,In-house,Street Sweeping and Bagging,,,,,,No,,,,,No,,,,,,,,,,Yes,Print advertising (i.e. local newspaper),0,0,1,20,Yes,110000,$-,$-,$-,$-,$-,$-,$-,110000,32460,,"$13,105",3426,,,18753,5753,12995,8374,2017,,96883
Woodhaven,QN,10340,2,2,0,1,348,319,29,348,Yes,Contracted,Street Sweeping and Bagging; Power Washing; Graffiti Removal; Gum Removal,5,3640,150,78000,120,No,,,,,Yes,16,0,88,0,5,0,0,0,1,Yes,"Print advertising (i.e. local newspaper); Digital advertising (i.e. Google, Facebook, Instagram ads); Direct mailings; Flyers; Email bulletins; Social media; LinkNYC advertising (more info)",845,5000,5,2500,No,275000,$-,$-,$-,$-,$-,$705,$-,275705,83225,,"$42,282",,,,55055,5250,1473,15787,9918,25649,238640
