BID Name:,Full-time staff,Part-time staff,BID provides supplemental sanitation services,Type of sanitation services,Types of duties assigned to sanitation workers,Hours logged by sanitation workers,Incidents of graffiti removed,Trash bags collected,Trash and recycling receptacles serviced,BID provides supplemental public safety services,Type of public safety services,Duties assigned to public safety personnel,Hours logged by public safety officers,Interactions with public safety officers,BID provides supplemental streetscape and beautification services,Public spaces maintained,Tree pits maintained,Banners maintained,Public art installations sponsored,BID has holiday lighting program,Communication channels used,Marketing materials distributed,Public events coordinated,Estimated attendees to public events coordinated,Allocates staff salaries,Assessment revenue,Contract revenue,Contributions,Government grants,Program service revenue,Interest income,Miscellaneous income,Total support and revenue,Sanitation expenses,Public safety expenses,Other program expenses,Salaries,Outside contractor expenses,Insurance costs,Rent and utilities,Supplies and equipment costs,Capital improvement expenses,Total expenses
North Flatbush,0,0.0,Yes,Contracted,Street Sweeping and Bagging; Snow and Ice Removal; Graffiti Removal; Street Furniture Maintenance,2184.0,620.0,14200.0,54.0,No,,,,,Yes,0.0,,30.0,,Yes,Paid Advertising; Direct mailings; Door-to-door visits; Flyers; Email bulletins; Social media,4550,8,1500,No,150000,,," 20,000 "," 9,800 ",,   ,196050,63702, -   , -   ,," 41,820 ",3172.0,12787,2029, -   ,180039
Park Slope 5th Avenue,1,2.0,Yes,Contracted,Street Sweeping and Bagging; Power Washing; Snow and Ice Removal; Graffiti Removal,5560.0,1100.0,78000.0,104.0,No,,,,,Yes,0.0,,50.0,1.0,Yes,Paid Advertising; Flyers; Email bulletins; Social media,18900,17,80000,No,300000, -   ,," 2,500 "," 16,700 ", 100 ,,431300,107000," 1,000 ", -   ," 88,000 "," 57,000 ",3500.0,22720,1500, -   ,435070
Pitkin Avenue,2,10.0,Yes,Contracted,Street Sweeping and Bagging; Graffiti Removal,3120.0,100.0,14500.0,64.0,Yes,In-house,Coordination with NYPD,175.0,60.0,Yes,3.0,60.0,6.0,6.0,Yes,Paid Advertising; Direct mailings; Door-to-door visits; Flyers; Email bulletins; Social media,11000,6,5000,No,225000,,," 82,917 ", -   ,," 3,148 ",311065,63515," 1,422 "," 16,157 "," 113,917 "," 5,377 ",808.0,,7409, -   ,312830
SoHo-Broadway,1,1.0,Yes,Contracted,Street Sweeping and Bagging; Power Washing; Snow and Ice Removal; Graffiti Removal; Street Furniture Maintenance,12375.0,2491.0,47593.0,30.0,Yes,In-house,Street patrol; Coordination with NYPD,1645.0,503.0,Yes,0.0,,,,No,Door-to-door visits; Flyers; Email bulletins; Social media,0,7,234,Yes,550000, -   ," 18,048 "," 22,000 ", -   , 40 ,,590088,263551," 119,586 "," 111,866 "," 31,140 "," 15,934 ",4484.0,23842,3857," 12,166 ",624020
South Shore,1,0.0,Yes,Contracted,Street Sweeping and Bagging,1248.0,0.0,3120.0,20.0,Yes,Contracted,Monitoring security cameras; Coordination with NYPD,0.0,0.0,Yes,1.0,20.0,58.0,0.0,Yes,Paid Advertising; Direct mailings; Door-to-door visits; Flyers; Email bulletins; Social media,4500,2,3000,No,185000,,," 20,000 ",, 50 ,,205500,22660," 10,000 ", -   ," 40,000 ", -   ,12000.0,3600, -   , -   ,129995
Southern Boulevard,1,0.0,Yes,Contracted,Street Sweeping and Bagging; Snow and Ice Removal,4160.0,25.0,5824.0,16.0,Yes,Contracted,Street patrol; Coordination with NYPD,90.0,90.0,Yes,0.0,67.0,20.0,0.0,Yes,Paid Advertising; Door-to-door visits; Email bulletins; Social media,1750,9,8500,No,190000,," 1,800 ", -   ,, -   ,,191800,65706," 8,318 ", 850 , -   ," 49,800 ",2465.0,,375, -   ,182679
Steinway Street,2,1.0,Yes,Contracted,Street Sweeping and Bagging; Graffiti Removal; Street Furniture Maintenance,7581.0,3740.0,78000.0,38.0,Yes,Contracted,Monitoring security cameras,100.0,0.0,Yes,0.0,33.0,20.0,0.0,Yes,Paid Advertising; Direct mailings; Flyers; Social media,7000,6,8000,No,400000, -   ,,,, 620 ," 13,018 ",423138,143900," 52,341 ", -   ,," 95,000 ",1022.0,,, -   ,423138
Sunnyside Shines,1,4.0,Yes,Contracted,Street Sweeping and Bagging; Power Washing; Snow and Ice Removal; Graffiti Removal; Street Furniture Maintenance,7383.0,92.0,24060.0,60.0,No,,,,,Yes,2.0,121.0,62.0,,Yes,Paid Advertising; Door-to-door visits; Flyers; Email bulletins; Social media,26500,44,7500,Yes,360000, -   ," 5,829 "," 103,708 "," 35,363 ", 672 ,,526757,138957, -   , -   ," 33,980 "," 5,884 ",1410.0,15270,8985, -   ,510708
Sunset Park,1,20.0,Yes,Contracted,Street Sweeping and Bagging; Snow and Ice Removal; Graffiti Removal,2080.0,229.0,22548.0,106.0,No,,,,,Yes,0.0,0.0,255.0,0.0,Yes,Paid Advertising; Door-to-door visits; Flyers; Email bulletins; Social media,21500,46,87110,Yes,300000,,," 10,000 ",, 871 ," 113,485 ",466611,47840, 403 ," 7,931 "," 84,526 "," 4,125 ",4085.0,32378,5159, -   ,365790
Sutphin Boulevard,1,5.0,Yes,Contracted,Street Sweeping and Bagging; Power Washing; Snow and Ice Removal; Graffiti Removal; Gum Removal,3640.0,0.0,14129.0,46.0,No,,,,,No,,,,,Yes,Paid Advertising; Door-to-door visits; Flyers; Email bulletins; Social media,1000,25,1500,No,252000,,,,,,,252000,71740, -   ,," 63,853 "," 35,449 ",3517.0,14431,1983, -   ,199729
Times Square Alliance,38,54.0,Yes,Both or Other,Street Sweeping and Bagging; Power Washing; Snow and Ice Removal; Graffiti Removal; Gum Removal; Street Furniture Maintenance,145600.0,823.0,146000.0,364.0,Yes,Both or Other,Monitoring security cameras; Crime prevention workshops; Street patrol; Traffic mitigation; Coordination with NYPD,104000.0,650000.0,Yes,13.0,67.0,215.0,30.0,No,Paid Advertising; Direct mailings; Door-to-door visits; Flyers; Email bulletins; Social media,50000,94,9658142,Yes,12638972,," 394,834 "," 304,110 "," 2,417,641 "," 26,477 ",,18055822,5573954," 3,987,314 "," 1,131,252 "," 770,139 "," 213,728 ",34826.0,446392,248691, -   ,19551152
Union Square Partnership,7,5.0,Yes,Contracted,Street Sweeping and Bagging; Power Washing; Snow and Ice Removal; Graffiti Removal; Gum Removal; Street Furniture Maintenance,45745.0,237.0,178000.0,125.0,No,,,,,Yes,3.0,100.0,145.0,2.0,Yes,Paid Advertising; Direct mailings; Door-to-door visits; Email bulletins; Social media,44900,198,21230,Yes,2200000,," 41,530 ",," 16,952 "," 3,531 ",,2262013,1036601," 191,276 "," 150,000 "," 241,174 ",,26471.0,32320,32062, -   ,2464584
Village Alliance,3,2.0,Yes,Contracted,Street Sweeping and Bagging; Power Washing; Snow and Ice Removal; Graffiti Removal; Street Furniture Maintenance,21868.0,385.0,86000.0,105.0,Yes,Contracted,Street patrol,7250.0,5419.0,Yes,3.0,145.0,36.0,2.0,Yes,Paid Advertising; Direct mailings; Door-to-door visits; Flyers; Email bulletins; Social media,60500,16,24000,No,1300000," 9,359 "," 64,093 "," 10,850 ",," 2,538 ",,1465377,449450," 142,246 "," 67,712 "," 422,838 "," 55,779 ",12653.0,55355,14430, -   ,1695733
Washington Heights,3,1.0,Yes,Contracted,Street Sweeping and Bagging; Snow and Ice Removal; Graffiti Removal; Street Furniture Maintenance,12624.0,1375.0,59200.0,75.0,No,,,,,No,,111.0,24.0,,Yes,Paid Advertising; Direct mailings; Door-to-door visits; Flyers; Email bulletins; Social media,11050,20,10000,Yes,517422,,," 139,500 ",,," 43,600 ",710522,269816, -   , -   ," 208,472 "," 33,055 ",15864.0,87430,13273, -   ,710547
West Shore,1,10.0,Yes,Contracted,Street Sweeping and Bagging,115.0,0.0,240.0,10.0,Yes,Contracted,Street patrol; Coordination with NYPD,832.0,10.0,Yes,0.0,0.0,40.0,0.0,No,Door-to-door visits; Flyers; Email bulletins,500,0,0,No,114741,,,,,,,114741,13413," 31,610 ", -   ," 35,000 ",,8711.0, -   ,200, -   ,101634
Westchester Square,3,0.0,Yes,Contracted,Street Sweeping and Bagging; Snow and Ice Removal; Graffiti Removal; Street Furniture Maintenance,7850.0,16.0,9500.0,32.0,No,,,,,Yes,1.0,45.0,49.0,1.0,Yes,Paid Advertising; Door-to-door visits; Flyers; Email bulletins; Social media,7500,28,12000,No,320000,,," 217,276 ",,,,537276,140999, -   , -   ," 220,840 "," 9,815 ",1959.0,26234,2278,,553040
White Plains Road,1,0.0,Yes,In-house,Street Sweeping and Bagging,2190.0,4.0,22000.0,21.0,Yes,Both or Other,Street patrol; Coordination with NYPD,730.0,36.0,Yes,0.0,48.0,38.0,0.0,Yes,Paid Advertising; Flyers; Social media,250,2,200,Yes,110000,,,,,,,110000,38251, -   ,, -   ," 27,750 ",3477.0,1551,1197, -   ,94419
Woodhaven,0,0.0,Yes,Contracted,Street Sweeping and Bagging; Power Washing; Snow and Ice Removal; Graffiti Removal,5096.0,1915.0,65000.0,120.0,Yes,Both or Other,,200.0,9.0,Yes,1.0,16.0,88.0,0.0,Yes,Paid Advertising; Direct mailings; Flyers; Email bulletins; Social media,4150,9,3000,No,218000,,,,, 65 ,,218065,106334, -   , -   , -   ," 64,500 ",2965.0,1399, -   , -   ,242435
