BID Name:,Borough,Service Area (Linear Feet),Full-time staff,Sanitation staff employed,Public Safety staff employed,Part-time staff,"Individual businesses (retail, restaurant, office, etc.)",Occupied storefronts,Vacant storefronts,Total storefronts,BID provides supplemental sanitation services,Type of sanitation services,Types of duties assigned to sanitation workers,Days per week of sanitation services,Hours logged by sanitation workers,Incidents of graffiti removed,Trash bags collected,Trash and recycling receptacles serviced,BID provides supplemental public safety services,Type of public safety services,Duties assigned to public safety personnel,Hours logged by public safety officers,Interactions with public safety officers,BID provides supplemental streetscape and beautification services,Planters maintained,Tree pits maintained,Banners maintained,Public art installations sponsored,Street furniture elements maintained,Wayfinding elements maintained,Lighting elements maintained,Other infrastructure elements maintained,Public spaces maintained,BID has holiday lighting program,Communication channels used,Social media followers,Marketing materials distributed,Public events coordinated,Estimated attendees to public events coordinated,Allocates staff salaries,Assessment revenue,Contract revenue,Contributions,Fundraising and special event revenue,Government grants,Program service revenue,Interest income,Miscellaneous income,Total support and revenue,Sanitation expenses,Public safety expenses,"Marketing, holiday lighting, and special event expenses",Streetscape & beautification expenses,Other program expenses,Capital improvement expenses,Salaries,Outside contractor expenses,Insurance costs,Rent and utilities,Supplies and equipment costs,Other G&A expenses,Total expenses,Unnamed Column,Unnamed Column 1,Unnamed Column 2,Unnamed Column 3,Unnamed Column 4,Unnamed Column 5,Unnamed Column 6,Unnamed Column 7,Unnamed Column 8
Lower East Side,MN,10870,8,4,0,0,Unknown,436,77,513,true,Both or Other (please explain),Street Sweeping and Bagging; Snow and Ice Removal; Graffiti Removal; Gum Removal; Street Furniture Maintenance,7,2406,983,8473,69,false,,,,,true,63,142,20,185,10,,115,,4,true,"Print advertising (i.e. local newspaper); Digital advertising (i.e. Google, Facebook, Instagram ads); Email bulletins; Social media; LinkNYC advertising (more info)","22,200",55350,5,55000,true,746748,302821,,,230500,22432,768,15445,1318714,89171,,121905,"$101,368",110827,,585776,7536,18434,160868,13173,33951,1243009,,,,,,,,,
Madison Avenue,MN,27450,3,12,14,1,794,427,42,469,true,Contracted,Street Sweeping and Bagging; Power Washing; Snow and Ice Removal; Graffiti Removal; Gum Removal; Street Furniture Maintenance,7,21282,3181,119100,109,true,In-house,Crime prevention workshops; Street patrol; Traffic mitigation; Coordination with NYPD,29120,22341,true,,27,67,2,,,,54,,true,"Print advertising (i.e. local newspaper); Digital advertising (i.e. Google, Facebook, Instagram ads); Direct mailings; Door-to-door visits; Flyers; Email bulletins; Social media","3,148",11300,6,3000,true,1757000,,5000,,,148681,574,,1911255,489917,734441,357557,"$82,865",,,133045,20856,5759,58212,57864,35757,1976273,,,,,,,,,
Meatpacking,MN,31420,3,9,6,1,I don't know,213,54,267,true,Contracted,Street Sweeping and Bagging; Power Washing; Snow and Ice Removal; Graffiti Removal; Gum Removal; Street Furniture Maintenance,7,16640,1370,51973,102,true,Contracted,Street patrol; Traffic mitigation; Coordination with NYPD,7488,864,true,19,122,100,,9,,119,111,,false,"Print advertising (i.e. local newspaper); Digital advertising (i.e. Google, Facebook, Instagram ads); Direct mailings; Door-to-door visits; Flyers; Email bulletins; Social media","52,000",196200,18,22000,false,1700000,6250,25624,206530,,107066,13701,98918,2158090,343290,256887,195837,"$146,655",250635,,565449,,31242,111379,51045,,1952419,,,,,,,,,
MetroTech,BK,46200,13,55,20,0,Do Not Track,232,32,264,true,Contracted,Street Sweeping and Bagging; Power Washing; Snow and Ice Removal; Graffiti Removal; Gum Removal; Street Furniture Maintenance,7,37226,461,46603,159,true,In-house,Monitoring security cameras; Street patrol; Coordination with NYPD,48000,23357,true,38,457,194,1,117,12,102,252,6,true,"Print advertising (i.e. local newspaper); Digital advertising (i.e. Google, Facebook, Instagram ads); Flyers; Email bulletins; Social media; LinkNYC advertising (more info)","30,667",27900,20,5000,true,3827675,,109760,,10000,,478,260,3948173,910879,1336680,166780,"$546,038",,11261,148831,58403,68921,41514,26163,374663,3690132,,,,,,,,,
Montague Street,BK,3980,1,2,0,5,100,91,9,100,true,Contracted,Street Sweeping and Bagging; Power Washing; Snow and Ice Removal; Graffiti Removal; Gum Removal; Street Furniture Maintenance,7,2795,147,7790,17,false,,,,,true,60,50,9,,1,,,50,,true,"Print advertising (i.e. local newspaper); Digital advertising (i.e. Google, Facebook, Instagram ads); Flyers; Email bulletins; Social media; LinkNYC advertising (more info)","1,503",12100,3,3500,false,210000,9000,,,,,71,2000,221071,46715,,59243,"$18,985",,,48461,5688,3988,,6545,,189625,,,,,,,,,
Myrtle Avenue (Brooklyn),BK,15950,2.3,5,0,2,181,185,32,217,true,Contracted,Street Sweeping and Bagging; Power Washing; Snow and Ice Removal; Graffiti Removal; Gum Removal; Street Furniture Maintenance,7,9180,149,19200,97,false,,,,,true,,268,92,9,84,3,,121,1,true,"Print advertising (i.e. local newspaper); Digital advertising (i.e. Google, Facebook, Instagram ads); Door-to-door visits; Flyers; Email bulletins; Social media","11,091",28825,22,2615,true,575000,,50000,,25757,20000,,,670757,152218,10563,196656,"$83,345",62189,,71903,22785,2122,27162,7408,13649,650001,,,,,,,,,
Myrtle Avenue (Queens),QN,16990,2,3,0,4,348,324,24,348,true,Contracted,Street Sweeping and Bagging; Graffiti Removal; Street Furniture Maintenance,7,7300,279,79000,61,false,,,,,true,22,385,4,,68,28,,103,5,true,"Print advertising (i.e. local newspaper); Digital advertising (i.e. Google, Facebook, Instagram ads); Direct mailings; Door-to-door visits; Flyers; Email bulletins; Social media","1,432",130000,61,125000,false,507676,,,,44000,,220,,551896,158518,,155346,"$22,067",,,,135233,35667,21207,1900,5285,535223,,,,,,,,,
New Dorp,SI,11884,1,3,0,3,154,145,9,154,true,Contracted,Street Sweeping and Bagging; Power Washing; Graffiti Removal; Gum Removal; Street Furniture Maintenance,4,336,1,80,20,false,,,,,true,25,150,,3,15,3,35,5,2,true,"Print advertising (i.e. local newspaper); Digital advertising (i.e. Google, Facebook, Instagram ads); Direct mailings; Door-to-door visits; Flyers; Social media; LinkNYC advertising (more info)","1,800",3635,6,16000,false,67500,,2000,23900,6000,,,,99400,9500,,35400,$-,2000,,50000,3000,3000,,,13500,116400,,,,,,,,,
NoHo NY,MN,12570,2,4,0,2,Do not track,114,24,138,true,Contracted,Street Sweeping and Bagging; Power Washing; Snow and Ice Removal; Graffiti Removal; Street Furniture Maintenance,7,10016,98,59485,60,false,,,,,true,60,4,,,3,,,53,,false,Print advertising (i.e. local newspaper); Door-to-door visits; Flyers; Email bulletins; Social media,"2,642",650,4,150,false,540000,,4800,,,,1980,,546780,211197,,2592,"$35,782",,,140643,32560,3851,61310,10939,8141,507015,,,,,,,,,
North Flatbush,BK,6820,0,1,0,0,151,151,25,176,true,Contracted,Street Sweeping and Bagging; Snow and Ice Removal; Graffiti Removal; Street Furniture Maintenance,7,2184,625,14500,54,false,,,,,true,10,80,35,,,,,22,,true,"Print advertising (i.e. local newspaper); Digital advertising (i.e. Google, Facebook, Instagram ads); Direct mailings; Door-to-door visits; Flyers; Email bulletins; Social media; LinkNYC advertising (more info)","2,723",3550,4,3000,false,150000,,3000,8900,40000,5850,,,207750,50854,,39792,"$59,401",853,,,67771,5496,10963,1925,7093,244147,,,,,,,,,
Park Slope 5th Avenue,BK,27630,1,3.25,0,2,520,474,46,520,true,Contracted,Street Sweeping and Bagging; Power Washing; Snow and Ice Removal; Graffiti Removal,5,5919,514,33623,130,false,,,,,true,,,50,,,,1,,,true,"Print advertising (i.e. local newspaper); Digital advertising (i.e. Google, Facebook, Instagram ads); Door-to-door visits; Flyers; Email bulletins; Social media","16,500",18100,29,85000,false,300000,,,96510,,6400,1,,402911,117256,,118824,$-,18600,,93178,68388,4191,20227,2171,3617,446452,,,,,,,,,
Pitkin Avenue,BK,12880,2,2,0,10,195,190,15,205,true,Contracted,Street Sweeping and Bagging; Graffiti Removal,7,2900,70,7300,68,false,,,,,true,10,,,,1,,,,2,true,"Print advertising (i.e. local newspaper); Digital advertising (i.e. Google, Facebook, Instagram ads); Door-to-door visits; Flyers; Email bulletins; Social media","1,800",11000,12,4500,false,225000,,,,143083,,,,368083,63021,3415,141720,"$25,628",15600,,117100,,1000,3500,3500,,374484,,,,,,,,,
SoHo-Broadway,MN,6960,2,6,1,1,2200,117,30,147,true,Contracted,Street Sweeping and Bagging; Power Washing; Snow and Ice Removal; Graffiti Removal; Street Furniture Maintenance,7,12318,1660,45239,42,true,In-house,Crime prevention workshops; Street patrol; Coordination with NYPD,1680,281,true,,,,1,,,,16,,false,Door-to-door visits; Flyers; Email bulletins; Social media,"1,234",2000,4,246,true,550000,,,,15000,,49,14798,579848,296521,126887,,$-,149612,8779,48945,16029,6268,20800,1733,20448,696022,,,,,,,,,
South Shore,SI,21950,1,3,0,0,316,296,20,316,true,Contracted,Street Sweeping and Bagging,3,936,,2080,20,true,Both or Other (please explain),Monitoring security cameras; Coordination with NYPD,104,52,true,,50,48,,,,,,1,true,"Print advertising (i.e. local newspaper); Digital advertising (i.e. Google, Facebook, Instagram ads); Direct mailings; Door-to-door visits; Social media","1,353",5000,3,6000,false,185000,,,,20000,,786,,205786,36106,3060,34354,"$11,409",,,40000,,11107,3600,,,139636,,,,,,,,,
Southern Boulevard,BX,6830,0,2,0,0,175,126,24,150,true,Contracted,Street Sweeping and Bagging; Power Washing; Snow and Ice Removal; Graffiti Removal,5,4140,30,5824,16,false,,,,,true,,18,6,,,,10,18,,true,"Print advertising (i.e. local newspaper); Digital advertising (i.e. Google, Facebook, Instagram ads); Door-to-door visits; Flyers; Email bulletins; Social media",745,1500,7,5500,false,190000,,2020,,,,70,,192090,76906,7426,45007,"$3,885",,,49200,7160,2485,2274,265,925,195533,,,,,,,,,
Steinway Street,QN,9930,2,4,0,1,319,238,50,288,true,Contracted,Street Sweeping and Bagging; Snow and Ice Removal; Graffiti Removal; Street Furniture Maintenance,7,7665,4778,79500,36,true,Contracted,Monitoring security cameras,100,,true,29,33,20,,88,,,33,,true,"Print advertising (i.e. local newspaper); Digital advertising (i.e. Google, Facebook, Instagram ads); Door-to-door visits; Flyers; Social media","2,300",3000,6,8000,false,400000,,,9500,,,550,19400,429450,164050,30000,76000,"$53,200",,,,98000,1000,,,7200,429450,,,,,,,,,
Sunnyside Shines,QN,18290,1,3,0,2,301,284,17,301,true,Contracted,Street Sweeping and Bagging; Power Washing; Snow and Ice Removal; Graffiti Removal; Gum Removal; Street Furniture Maintenance,7,8193,115,38188,64,false,,,,,true,37,125,26,,118,,,104,2,true,"Print advertising (i.e. local newspaper); Digital advertising (i.e. Google, Facebook, Instagram ads); Direct mailings; Door-to-door visits; Flyers; Email bulletins; Social media","9,183",30550,49,10900,true,360000,,4477,46078,114700,10128,595,,535977,143163,,131954,"$72,015",,,130055,3875,8473,34419,9052,3571,536577,,,,,,,,,
Sunset Park,BK,11780,1,3,0,14,625,600,25,625,true,Contracted,Street Sweeping and Bagging; Snow and Ice Removal; Graffiti Removal,5,2225,144,36500,106,false,,,,,true,,,32,,,,,,,true,"Print advertising (i.e. local newspaper); Digital advertising (i.e. Google, Facebook, Instagram ads); Door-to-door visits; Flyers; Email bulletins; Social media","9,955",1000,12,75000,false,300000,,,43617,15000,,480,,359097,47490,,59325,$-,,,67178,,5915,26804,7801,,214513,,,,,,,,,
Sutphin Boulevard,QN,4440,1,2,0,4,134,80,6,86,true,Contracted,Street Sweeping and Bagging; Power Washing; Snow and Ice Removal; Graffiti Removal,7,3560,680,21000,28,false,,,,,true,,57,,,,,,2,,true,"Print advertising (i.e. local newspaper); Digital advertising (i.e. Google, Facebook, Instagram ads); Direct mailings; Door-to-door visits; Flyers; Email bulletins; Social media",558,1806,28,800,true,252000,,10000,8000,9000,,,,279000,91428,,23150,$-,,,65430,49676,3729,11400,9114,,253927,,,,,,,,,
HUB/3rd Avenue,BX,3450,4,6,0,5,285,111,7,118,true,Both or Other (please explain),Street Sweeping and Bagging; Power Washing; Snow and Ice Removal; Graffiti Removal; Street Furniture Maintenance,7,8320,62,7824,4,true,In-house,Monitoring security cameras; Crime prevention workshops; Coordination with NYPD,1020,463,true,,18,23,,34,2,,3,1,true,"Print advertising (i.e. local newspaper); Digital advertising (i.e. Google, Facebook, Instagram ads); Direct mailings; Door-to-door visits; Flyers; Email bulletins; Social media; LinkNYC advertising (more info)","1,967",5050,41,64000,true,450927,,17375,124747,29188,,31,,622268,115548,,124862,"$2,766",,,231777,48400,7401,56707,11048,11722,610231,,,,,,,,,
Times Square Alliance,MN,52800,35,85,45,8,1925,589,104,693,true,Both or Other (please explain),Street Sweeping and Bagging; Power Washing; Snow and Ice Removal; Graffiti Removal; Gum Removal; Street Furniture Maintenance,7,152548,755,173375,376,true,In-house,Monitoring security cameras; Crime prevention workshops; Street patrol; Coordination with NYPD,93600,615000,true,100,76,205,4,700,20,,250,13,false,"Print advertising (i.e. local newspaper); Digital advertising (i.e. Google, Facebook, Instagram ads); Direct mailings; Door-to-door visits; Flyers; Email bulletins; Social media; LinkNYC advertising (more info)","1,931,989",53000,331,9849464,true,13018141,,603411,3100671,255900,3315936,186091,,20480150,6422020,3901885,6768622,"$643,318",832273,,1475836,245542,46336,435347,768900,258898,21798977,,,,,,,,,
Union Square Partnership,MN,22380,7,22,0,4,Do Not Track,868,24,892,true,Contracted,Street Sweeping and Bagging; Power Washing; Snow and Ice Removal; Graffiti Removal; Gum Removal; Street Furniture Maintenance,7,42990,18085,172000,125,false,,,,,true,90,100,258,2,670,,76,150,8,true,"Print advertising (i.e. local newspaper); Digital advertising (i.e. Google, Facebook, Instagram ads); Direct mailings; Door-to-door visits; Flyers; Email bulletins; Social media; LinkNYC advertising (more info)","59,763",41400,211,21703,true,2400000,,,,,15000,5445,,2420445,1003581,197312,439427,"$200,008",,,550979,22675,92906,5225,21954,19073,2553140,,,,,,,,,
Village Alliance,MN,22750,3,8,3,2,425 storefronts but unknown upper floor office tenants (close to 2M sq ft),377,48,425,true,Contracted,Street Sweeping and Bagging; Power Washing; Snow and Ice Removal; Graffiti Removal; Street Furniture Maintenance,7,22868,377,87520,103,true,Contracted,Street patrol; Coordination with NYPD,6219,2860,true,103,145,36,2,135,2,36,22,3,true,"Print advertising (i.e. local newspaper); Digital advertising (i.e. Google, Facebook, Instagram ads); Direct mailings; Door-to-door visits; Email bulletins; Social media; LinkNYC advertising (more info)","28,253",60000,16,40000,false,1400000,70698,,43750,8000,57200,3208,8534,1591390,475881,134586,210818,"$92,399",67623,,383464,39206,6830,59001,21192,103705,1594705,,,,,,,,,
Washington Heights,MN,7030,2,5,4,4,245,222,23,245,true,Contracted,Street Sweeping and Bagging; Snow and Ice Removal; Graffiti Removal; Street Furniture Maintenance,7,11680,1500,58000,15,true,Contracted,Street patrol; Coordination with NYPD,290,76,true,,,22,,,,,,,true,"Digital advertising (i.e. Google, Facebook, Instagram ads); Door-to-door visits; Flyers; Email bulletins; Social media",507,6600,4,2500,true,517422,,,,46621,,,25800,589843,255000,,34930,$275,,,160799,15649,8705,71357,4133,10437,561285,,,,,,,,,
West Shore,SI,26880,1,2,2,3,65,0,0,0,true,Contracted,Street Sweeping and Bagging,0.5,96,,100,4,true,Contracted,Street patrol; Coordination with NYPD,700,30,true,,,20,,,,,,,false,Direct mailings; Door-to-door visits; Flyers; Email bulletins,-,60,,,false,110420,,,,,,,,110420,14000,20000,850,$-,,,35000,3025,9425,,,11050,93350,,,,,,,,,
Westchester Square,BX,9100,2,3,1,1,163,159,4,163,true,Contracted,Street Sweeping and Bagging; Snow and Ice Removal; Graffiti Removal; Street Furniture Maintenance,7,5824,32,9800,23,true,In-house,Monitoring security cameras; Street patrol; Coordination with NYPD,2080,1100,true,29,45,49,,4,,,,1,true,"Print advertising (i.e. local newspaper); Digital advertising (i.e. Google, Facebook, Instagram ads); Door-to-door visits; Flyers; Email bulletins; Social media","1,970",8000,26,15000,true,320000,,,9778,200855,,,,530633,130256,,125730,$-,,,196247,8575,1959,23585,2922,14875,504149,,,,,,,,,
White Plains Road,BX,3610,0,1,0,1,93,81,6,87,true,In-house,Street Sweeping and Bagging; Graffiti Removal,6,2080,2,13870,19,false,,,,,true,,48,31,,4,,,4,,true,"Print advertising (i.e. local newspaper); Digital advertising (i.e. Google, Facebook, Instagram ads); Flyers",-,2500,4,15630,true,110000,,,,,,,,110000,32500,,14600,"$11,600",,,25000,2500,5400,4200,,,95800,,,,,,,,,
Woodhaven,QN,10340,0,3,0,3,384,369,15,384,true,Contracted,Street Sweeping and Bagging; Snow and Ice Removal; Graffiti Removal,5,4500,1280,6200,80,false,,,,,true,16,16,88,,5,,,,1,true,Print advertising (i.e. local newspaper); Direct mailings; Flyers; Social media,350,11000,9,1000,false,275000,,500,,,,112,,275612,85809,,47210,"$2,050",,,,71378,818,951,3401,2072,213689,,,,,,,,,
